Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Max Gross Exposure [%],Symbol,Strategy
9.557715875002261e-08,0.9359594434565219,2.4089636921925146e-07,61.15702479338842,1.5485975826448242e-09,1.2049999978985315e-06,KAVABTC,vwap_reversion
-7.359106112499649e-06,-1.9779185647722208,2.2714518919997317e-05,75.32467532467533,4.438553084419721e-09,6.407500006160462e-05,KSMBTC,vwap_reversion
2.8194037375001594e-07,0.7655473743287738,1.5733946249046386e-06,87.5,1.502660039062534e-08,3.3124999955249886e-06,LAYERBTC,vwap_reversion
-2.518003783749943e-05,-7.201611685676682,2.938003774488607e-05,13.333333333333334,-1.579584403124952e-07,6.190000004199508e-05,LINKBTC,vwap_reversion
-0.00016645436449999742,-5.980962080570091,0.00017395436448452983,23.943661971830984,-1.288695660211224e-06,0.000312500001465332,LTCBTC,vwap_reversion
-2.4433325624998565e-07,-4.0991516843792954,3.857492885117608e-07,58.992805755395686,-1.4071127428056508e-09,1.0875000000177457e-06,MANABTC,vwap_reversion
-1.8896026749999773e-06,-3.172395415170218,3.086043534310124e-06,60.416666666666664,-3.0632378671874475e-08,4.775000000342124e-06,MEBTC,vwap_reversion
-0.0026541864174999975,-7.9078566805356445,0.0033266864174947837,20.0,-2.536975874999983e-05,0.0027750003005015222,MKRBTC,vwap_reversion
-3.375949837499889e-07,-2.363982937147329,6.847350988437029e-07,66.66666666666666,-4.7807038461536075e-09,2.790000000046946e-06,MTLBTC,vwap_reversion
-5.3327088612497964e-06,-7.940043561390534,5.5629474502438825e-06,14.349775784753364,-2.1949414540357776e-08,1.1177500001874671e-05,NEARBTC,vwap_reversion
-9.543628237499729e-06,-5.072299673001063,1.3201954857322562e-05,20.588235294117645,-1.2462409577205414e-07,3.6225000074933345e-05,NEOBTC,vwap_reversion
-1.6557593899997888e-06,-6.509470934968892,1.7987320574245617e-06,18.77076411960133,-2.5342465552322306e-09,3.4850000001822397e-06,NEXOBTC,vwap_reversion
-1.833605374999645e-08,-0.5341408779447245,1.784539733762358e-07,90.76923076923077,-2.35788057692269e-10,4.675000000032794e-07,NFPBTC,vwap_reversion
-9.59044404249985e-06,-4.640841572104124,1.0907944059113106e-05,46.728971962616825,-1.6413796892522003e-08,1.4402500292364823e-05,OMBTC,vwap_reversion
-0.0013273624737499797,-3.617123031260015,0.0020510516437734333,36.84210526315789,-5.999136907893554e-06,0.00724500479472597,PAXGBTC,vwap_reversion
-1.5970545762499409e-06,-2.0117822562976815,3.3760848597623186e-06,68.85245901639344,-1.6355324385245e-08,9.00250000121608e-06,PENDLEBTC,vwap_reversion
3.584052250000021e-07,17.895081263505553,3.24999973585518e-08,97.0059880239521,2.2214607709580863e-09,7.500000000008441e-08,PEOPLEBTC,vwap_reversion
-1.0200192249998335e-07,-1.6857195222319896,3.08897952550069e-07,89.07103825136612,-5.098692418031789e-10,9.900000000147064e-07,POLBTC,vwap_reversion
-8.435109124999533e-05,-4.234881942810288,0.00011410109145515436,48.50299401197605,-1.9162250299399008e-07,0.00027300000111830767,QNTBTC,vwap_reversion
2.4824302700001856e-06,2.111284224801081,3.627499978768646e-06,70.79207920792079,1.8480604715347512e-08,1.0002500099495124e-05,QTUMBTC,vwap_reversion
-2.4490322912497266e-06,-2.5476327171622826,5.39333325377811e-06,42.63157894736842,-1.2826640190787937e-08,1.4332500008247765e-05,RENDERBTC,vwap_reversion
-1.2814569899999962e-06,-5.912072199986468,1.7565621985295586e-06,28.57142857142857,-7.906771339285676e-08,3.6425000003583964e-06,RONINBTC,vwap_reversion
8.415386125000004e-08,6.309721857490774,4.584750001426521e-08,91.52542372881356,1.5139416101694992e-09,1.4750000000032644e-07,ROSEBTC,vwap_reversion
-1.8821006474999293e-06,-3.911027070205569,2.919433199789984e-06,44.57142857142857,-7.555413042856767e-09,5.0250000003788865e-06,RUNEBTC,vwap_reversion
-3.232554599999844e-07,-4.462706794958862,4.82933046441758e-07,22.321428571428573,-2.828839151785588e-09,1.2750000000243925e-06,SANDBTC,vwap_reversion
-1.0487581962499946e-06,-5.342892160067384,1.573758154904681e-06,60.0,-3.491222166666512e-09,1.3575000000704462e-06,SBTC,vwap_reversion
-2.1801213749999397e-07,-3.751390809318831,2.8301218435444753e-07,94.4954128440367,-7.074191628439661e-10,8.000000000096033e-07,SEIBTC,vwap_reversion
-0.00031708772991248513,-10.927121511081632,0.0003853877299064834,11.016949152542372,-1.0326054514829844e-06,0.0005593000180073167,SOLBTC,vwap_reversion
-1.4457738749999927e-07,-3.302828277691985,1.981724863542681e-07,87.87878787878788,9.299628409091201e-10,1.9000000000054168e-07,STPTBTC,vwap_reversion
-1.1313573762499538e-06,-6.335194529569532,1.471362281790789e-06,29.18918918918919,-5.9200532027024105e-09,3.227500000156303e-06,STXBTC,vwap_reversion
-4.711411627499723e-06,-5.90586029075472,4.846269987114269e-06,20.50473186119874,-1.4618093966876038e-08,9.79749999825138e-06,SUIBTC,vwap_reversion
-4.1814577999998106e-07,-2.609060277677816,9.20091906664311e-07,69.38775510204081,-3.781504362244725e-09,2.340000000082162e-06,SUPERBTC,vwap_reversion
-1.6865623812499237e-06,-8.861561809260918,1.873384704254022e-06,19.587628865979383,-5.47481018041212e-09,3.0925000001435014e-06,SUSHIBTC,vwap_reversion
-0.000295614801624988,-2.649552036463511,0.0005407848906315849,40.97222222222222,-1.9558815104165846e-06,0.001104250018296618,TAOBTC,vwap_reversion
-1.5148683337499728e-06,-5.515915472511888,1.932365790935364e-06,30.88235294117647,-2.0912651691176014e-08,4.842500000351864e-06,THETABTC,vwap_reversion
-5.682306737499791e-06,-6.203797067853999,5.957306356663139e-06,89.3719806763285,-7.465450362317684e-09,1.0625000001693924e-05,TIABTC,vwap_reversion
-4.245546292499721e-06,-6.599681016665898,4.833046304497657e-06,21.145374449339208,-1.8010886134359958e-08,1.1790000014053785e-05,TONBTC,vwap_reversion
5.682558500000644e-08,0.763041214367304,1.3250000539973485e-07,98.32635983263597,7.434479027196943e-10,6.150000000056753e-07,TRXBTC,vwap_reversion
-1.1054031274999297e-05,-6.271155289212308,1.1974273049861819e-05,25.174825174825177,-3.3631405463284186e-08,2.850000001823692e-05,UNIBTC,vwap_reversion
-7.761336124999106e-08,-0.8530177349313762,2.806024496213075e-07,90.14084507042254,-6.214076408449589e-10,9.42500000013329e-07,USUALBTC,vwap_reversion
